modelo,alpha,gamma,epsilon_start,oponente_entrenamiento,oponente_evaluacion,episodios_eval,ganadas,perdidas,empates,porcentaje_victorias
trained_model_vs_Random_1000_0.99_0.7_0.1_0.9950.0005_128_1000_100,0.0005,0.99,0.7,Random,random,1000,813,187,0,0.813
trained_model_vs_Defensor_1000_0.99_0.7_0.1_0.9950.0005_128_1000_100,0.0005,0.99,0.7,Defensor,random,1000,690,310,0,0.69
trained_model_vs_None_1000_0.9_1.0_0.1_0.9950.0001_128_1000_100,0.0001,0.9,1.0,None,random,1000,750,250,0,0.75
trained_model_vs_Random_1000_0.9_1.0_0.1_0.9950.0001_128_1000_100,0.0001,0.9,1.0,Random,random,1000,826,174,0,0.826
trained_model_vs_Defensor_1000_0.9_1.0_0.1_0.9950.0001_128_1000_100,0.0001,0.9,1.0,Defensor,random,1000,807,193,0,0.807
trained_model_vs_None_1000_0.9_0.9_0.1_0.9950.0001_128_1000_100,0.0001,0.9,0.9,None,random,1000,682,318,0,0.682
trained_model_vs_Random_1000_0.9_0.9_0.1_0.9950.0001_128_1000_100,0.0001,0.9,0.9,Random,random,1000,676,324,0,0.676
trained_model_vs_Defensor_1000_0.9_0.9_0.1_0.9950.0001_128_1000_100,0.0001,0.9,0.9,Defensor,random,1000,856,144,0,0.856
trained_model_vs_None_1000_0.9_0.8_0.1_0.9950.0001_128_1000_100,0.0001,0.9,0.8,None,random,1000,774,226,0,0.774
trained_model_vs_Random_1000_0.9_0.8_0.1_0.9950.0001_128_1000_100,0.0001,0.9,0.8,Random,random,1000,852,148,0,0.852
trained_model_vs_Defensor_1000_0.9_0.8_0.1_0.9950.0001_128_1000_100,0.0001,0.9,0.8,Defensor,random,1000,641,359,0,0.641
trained_model_vs_None_1000_0.9_0.7_0.1_0.9950.0001_128_1000_100,0.0001,0.9,0.7,None,random,1000,761,239,0,0.761
trained_model_vs_Random_1000_0.9_0.7_0.1_0.9950.0001_128_1000_100,0.0001,0.9,0.7,Random,random,1000,851,149,0,0.851
trained_model_vs_Defensor_1000_0.9_0.7_0.1_0.9950.0001_128_1000_100,0.0001,0.9,0.7,Defensor,random,1000,723,277,0,0.723
trained_model_vs_None_1000_0.95_1.0_0.1_0.9950.0001_128_1000_100,0.0001,0.95,1.0,None,random,1000,813,187,0,0.813
trained_model_vs_Random_1000_0.95_1.0_0.1_0.9950.0001_128_1000_100,0.0001,0.95,1.0,Random,random,1000,749,251,0,0.749
trained_model_vs_Defensor_1000_0.95_1.0_0.1_0.9950.0001_128_1000_100,0.0001,0.95,1.0,Defensor,random,1000,807,193,0,0.807
trained_model_vs_None_1000_0.95_0.9_0.1_0.9950.0001_128_1000_100,0.0001,0.95,0.9,None,random,1000,722,278,0,0.722
trained_model_vs_Random_1000_0.95_0.9_0.1_0.9950.0001_128_1000_100,0.0001,0.95,0.9,Random,random,1000,827,173,0,0.827
trained_model_vs_Defensor_1000_0.95_0.9_0.1_0.9950.0001_128_1000_100,0.0001,0.95,0.9,Defensor,random,1000,792,208,0,0.792
trained_model_vs_None_1000_0.95_0.8_0.1_0.9950.0001_128_1000_100,0.0001,0.95,0.8,None,random,1000,737,263,0,0.737
trained_model_vs_Random_1000_0.95_0.8_0.1_0.9950.0001_128_1000_100,0.0001,0.95,0.8,Random,random,1000,763,237,0,0.763
trained_model_vs_Defensor_1000_0.95_0.8_0.1_0.9950.0001_128_1000_100,0.0001,0.95,0.8,Defensor,random,1000,655,345,0,0.655
trained_model_vs_None_1000_0.95_0.7_0.1_0.9950.0001_128_1000_100,0.0001,0.95,0.7,None,random,1000,687,313,0,0.687
trained_model_vs_Random_1000_0.95_0.7_0.1_0.9950.0001_128_1000_100,0.0001,0.95,0.7,Random,random,1000,817,183,0,0.817
trained_model_vs_Defensor_1000_0.95_0.7_0.1_0.9950.0001_128_1000_100,0.0001,0.95,0.7,Defensor,random,1000,672,328,0,0.672
trained_model_vs_None_1000_0.98_1.0_0.1_0.9950.0001_128_1000_100,0.0001,0.98,1.0,None,random,1000,728,272,0,0.728
trained_model_vs_Random_1000_0.98_1.0_0.1_0.9950.0001_128_1000_100,0.0001,0.98,1.0,Random,random,1000,761,239,0,0.761
trained_model_vs_Defensor_1000_0.98_1.0_0.1_0.9950.0001_128_1000_100,0.0001,0.98,1.0,Defensor,random,1000,784,216,0,0.784
trained_model_vs_None_1000_0.98_0.9_0.1_0.9950.0001_128_1000_100,0.0001,0.98,0.9,None,random,1000,741,259,0,0.741
trained_model_vs_Random_1000_0.98_0.9_0.1_0.9950.0001_128_1000_100,0.0001,0.98,0.9,Random,random,1000,718,282,0,0.718
trained_model_vs_Defensor_1000_0.98_0.9_0.1_0.9950.0001_128_1000_100,0.0001,0.98,0.9,Defensor,random,1000,572,428,0,0.572
trained_model_vs_None_1000_0.98_0.8_0.1_0.9950.0001_128_1000_100,0.0001,0.98,0.8,None,random,1000,846,154,0,0.846
trained_model_vs_Random_1000_0.98_0.8_0.1_0.9950.0001_128_1000_100,0.0001,0.98,0.8,Random,random,1000,765,235,0,0.765
trained_model_vs_Defensor_1000_0.98_0.8_0.1_0.9950.0001_128_1000_100,0.0001,0.98,0.8,Defensor,random,1000,677,323,0,0.677
trained_model_vs_None_1000_0.98_0.7_0.1_0.9950.0001_128_1000_100,0.0001,0.98,0.7,None,random,1000,694,306,0,0.694
trained_model_vs_Random_1000_0.98_0.7_0.1_0.9950.0001_128_1000_100,0.0001,0.98,0.7,Random,random,1000,793,207,0,0.793
trained_model_vs_Defensor_1000_0.98_0.7_0.1_0.9950.0001_128_1000_100,0.0001,0.98,0.7,Defensor,random,1000,734,266,0,0.734
trained_model_vs_None_1000_0.99_1.0_0.1_0.9950.0001_128_1000_100,0.0001,0.99,1.0,None,random,1000,684,316,0,0.684
trained_model_vs_Random_1000_0.99_1.0_0.1_0.9950.0001_128_1000_100,0.0001,0.99,1.0,Random,random,1000,876,124,0,0.876
trained_model_vs_Defensor_1000_0.99_1.0_0.1_0.9950.0001_128_1000_100,0.0001,0.99,1.0,Defensor,random,1000,641,359,0,0.641
trained_model_vs_None_1000_0.99_0.9_0.1_0.9950.0001_128_1000_100,0.0001,0.99,0.9,None,random,1000,747,253,0,0.747
trained_model_vs_Random_1000_0.99_0.9_0.1_0.9950.0001_128_1000_100,0.0001,0.99,0.9,Random,random,1000,743,257,0,0.743
trained_model_vs_Defensor_1000_0.99_0.9_0.1_0.9950.0001_128_1000_100,0.0001,0.99,0.9,Defensor,random,1000,734,266,0,0.734
trained_model_vs_None_1000_0.99_0.8_0.1_0.9950.0001_128_1000_100,0.0001,0.99,0.8,None,random,1000,714,286,0,0.714
trained_model_vs_Random_1000_0.99_0.8_0.1_0.9950.0001_128_1000_100,0.0001,0.99,0.8,Random,random,1000,805,195,0,0.805
trained_model_vs_Defensor_1000_0.99_0.8_0.1_0.9950.0001_128_1000_100,0.0001,0.99,0.8,Defensor,random,1000,824,176,0,0.824
trained_model_vs_None_1000_0.99_0.7_0.1_0.9950.0001_128_1000_100,0.0001,0.99,0.7,None,random,1000,741,259,0,0.741
